Scans,Initial Time,Final Time,Temperature[°C],Condutivity[mS/cm],Salinity[PSU],Conductance[S]
59,2018-05-25 13:42:43.170634,2018-05-25 13:43:43.608706,22.671216271186438,-0.015597626440677964,,-0.003368333220338983
60,2018-05-25 13:43:53.626849,2018-05-25 13:44:54.128993,22.804115500000005,-0.016804646333333333,,-0.0036289910666666672
60,2018-05-25 13:45:04.165991,2018-05-25 13:46:04.657967,22.9165645,-0.016845541000000002,,-0.0036378224333333334
60,2018-05-25 13:46:14.695719,2018-05-25 13:47:15.112158,23.010156666666663,-0.01677893116666667,,-0.0036234378833333333
60,2018-05-25 13:47:25.134245,2018-05-25 13:48:25.479136,23.092206166666667,-0.016589699666666666,,-0.0035825729833333327
60,2018-05-25 13:48:35.497000,2018-05-25 13:49:36.013703,23.16530866666666,-0.016730721666666667,,-0.0036130269166666663
60,2018-05-25 13:49:46.045357,2018-05-25 13:50:46.528683,23.229894,-0.016799411166666667,,-0.0036278605333333333
60,2018-05-25 13:50:56.567093,2018-05-25 13:51:57.014030,23.292230333333336,-0.016983924166666668,,-0.00366770625
60,2018-05-25 13:52:07.032530,2018-05-25 13:53:07.480161,23.352485166666664,-0.016700277500000003,,-0.0036064525499999995
60,2018-05-25 13:53:17.498458,2018-05-25 13:54:17.953130,23.411750166666664,-0.0166350475,,-0.003592365966666666
60,2018-05-25 13:54:27.962326,2018-05-25 13:55:28.406118,23.46812433333333,-0.016637255666666666,,-0.0035928427499999998
60,2018-05-25 13:55:38.422345,2018-05-25 13:56:38.872554,23.521312166666664,-0.016937269666666664,,-0.0036576310833333335
60,2018-05-25 13:56:48.912648,2018-05-25 13:57:49.375125,23.572783333333337,-0.017050304333333332,,-0.003682041133333333
60,2018-05-25 13:57:59.393992,2018-05-25 13:58:59.837010,23.619513833333336,-0.01691132416666667,,-0.003652028266666667
60,2018-05-25 13:59:09.873175,2018-05-25 14:00:10.348220,23.669148833333335,-0.016734642,,-0.003613873316666667
60,2018-05-25 14:00:20.388904,2018-05-25 14:01:20.833175,23.718005000000005,-0.016727851166666665,,-0.0036124071
60,2018-05-25 14:01:30.852086,2018-05-25 14:02:31.226282,23.763219000000003,-0.016695235833333332,,-0.0036053637666666675
60,2018-05-25 14:02:41.242319,2018-05-25 14:03:41.715147,23.80838233333333,-0.016862212833333334,,-0.0036414225499999996
60,2018-05-25 14:03:51.734207,2018-05-25 14:04:52.157657,23.852504333333332,-0.0168027315,,-0.0036285777166666666
60,2018-05-25 14:05:02.173783,2018-05-25 14:06:02.646564,23.89756866666667,-0.017000134666666666,,-0.003671207066666667
60,2018-05-25 14:06:12.679893,2018-05-25 14:07:13.107382,23.939067499999997,-0.016850822166666665,,-0.003638962933333333
60,2018-05-25 14:07:23.119650,2018-05-25 14:08:23.618086,23.986098833333337,-0.016959662500000004,,-0.0036624670499999998
60,2018-05-25 14:08:33.654739,2018-05-25 14:09:34.074231,24.021322833333336,-0.017118422333333334,,-0.003696751633333334
60,2018-05-25 14:09:44.111262,2018-05-25 14:10:44.583175,24.057809333333335,-0.0170467985,,-0.00368128425
60,2018-05-25 14:10:54.602275,2018-05-25 14:11:55.125859,24.09497049999999,-0.01717760783333333,,-0.00370953285
60,2018-05-25 14:12:05.167672,2018-05-25 14:13:05.680103,24.128486166666665,-0.016949900666666667,,-0.003660358983333333
60,2018-05-25 14:13:15.690324,2018-05-25 14:14:16.082187,24.162938499999996,-0.0172085855,,-0.003716222433333334
60,2018-05-25 14:14:26.101576,2018-05-25 14:15:26.562205,24.19965266666667,-0.016840591333333335,,-0.003636753466666666
60,2018-05-25 14:15:36.581640,2018-05-25 14:16:37.033994,24.230138666666665,-0.017019363833333336,,-0.0036753594666666667
60,2018-05-25 14:16:47.066099,2018-05-25 14:17:47.581021,24.262292833333333,-0.017324592666666663,,-0.00374127425
60,2018-05-25 14:17:57.623207,2018-05-25 14:18:58.076172,24.297375833333334,-0.017065861333333335,,-0.0036854009833333337
60,2018-05-25 14:19:08.095669,2018-05-25 14:20:08.527274,24.327787833333332,-0.016848485333333333,,-0.0036384582499999997
60,2018-05-25 14:20:18.553085,2018-05-25 14:21:19.022727,24.351997,-0.01722019666666667,,-0.0037187298833333336
60,2018-05-25 14:21:29.042721,2018-05-25 14:22:29.541127,24.389612500000002,-0.0169214075,,-0.0036542058000000005
60,2018-05-25 14:22:39.558875,2018-05-25 14:23:40.028867,24.426345500000004,-0.017067461833333335,,-0.0036857465999999995
60,2018-05-25 14:23:50.062136,2018-05-25 14:24:50.436026,24.462142166666673,-0.01739840633333333,,-0.003757214583333333
60,2018-05-25 14:25:00.455914,2018-05-25 14:26:00.880376,24.49931116666667,-0.017172207499999995,,-0.0037083666
60,2018-05-25 14:26:10.919571,2018-05-25 14:27:11.387149,24.53188816666667,-0.0172080145,,-0.0037160992833333334
60,2018-05-25 14:27:21.407234,2018-05-25 14:28:21.887317,24.56024883333333,-0.017426955166666667,,-0.003763379633333333
60,2018-05-25 14:28:31.902280,2018-05-25 14:29:32.274939,24.590816333333336,-0.017179163166666667,,-0.003709868583333333
60,2018-05-25 14:29:42.312693,2018-05-25 14:30:42.760108,24.622593833333333,-0.0172998245,,-0.0037359257000000004
60,2018-05-25 14:30:52.780465,2018-05-25 14:31:53.242925,24.643296833333334,-0.017367632333333334,,-0.003750568650000001
60,2018-05-25 14:32:03.284855,2018-05-25 14:33:03.788131,24.66442933333333,-0.017162704166666664,,-0.0037063141499999995
